Bulan,2015,2016,2017,2018,2019,2020,2021
Januari,275.56,273.54,360.07,309.14,265.42,206.31,309.46
Februari,297.01,249.92,353.13,275.59,245.99,250.44,287.31
Maret,348.03,218.47,334.5,306.25,220.06,222.85,378.52
April,291.35,195.69,301.47,253.23,397.38,246.78,302.77
Mei,318.8,185.58,300.85,245.63,252.29,174.21,331.73
Juni,302.39,222.77,265.42,256.97,207.01,221.06,387.22
Juli,333.55,179.49,305.84,359.67,218.67,276.85,319.39
Agustus,402.05,270.64,375.42,291.67,251.93,207.37,0
September,364.11,261.99,300,329.45,273.12,283.86,0
Oktober,351.48,372.29,392.86,319.53,249.02,298.5,0
November,296.61,375.32,298.08,236.75,267.91,361.02,0
Desember,290.46,386.04,285.29,256.23,282.71,395.51,0
